feature_identifier	mz	mummichogID_hsa_biocyc
Row.962_36280	201.113372307446	CPD-10806
Row.968_17030	583.206955761018	
Row.971_23272	199.133962511674	
Row.973_36568	191.071273910612	1-INDANONE
Row.976_33622	255.197385746829	
Row.977_22794	734.312168276673	
Row.978_17132	535.545762247206	
Row.979_1328	101.0600700346	CPD-13229,CPD-7031,METHYLBUT-CPD
Row.981_30658	309.13897865208	12-DEHYDRORETICULINIUM
Row.983_46840	597.307298391062	
Row.984_18752	601.907179097053	CPD0-1905,GTP
Row.986_18034	606.217303961218	
Row.988_1332	250.158201773681	
Row.990_14734	435.147628174564	C00255
Row.992_28685	281.122776121347	
Row.993_25043	349.169566154837	
Row.994_14696	411.15492259758	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-,CPD66-23
Row.1000_57816	227.129236635478	CPD-7618,CPD-9976,CPD-9977
Row.1002_2313	159.066067949668	INDOLE_ACETALDEHYDE
Row.1003_17650	582.708508547197	
Row.1006_19346	442.152208171763	BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE,DIHYDROFOLATE
Row.1011_47070	181.123316818498	CPD-4886,CPD-8785
Row.1013_1449	298.867175427395	
Row.1016_15705	476.178421083123	
Row.1018_27256	309.175292153926	
Row.1019_13255	385.143590525295	
Row.1021_1111	146.024383897527	CPD-12373
Row.1022_35541	284.224121333287	
Row.1023_36641	229.181435598485	N6N6N6-TRIMETHYL-L-LYSINE
Row.1026_1361	166.050724362934	CPD-569,C00250
Row.1027_42642	149.060471344443	1-INDANOL
Row.1029_20640	507.197457522295	
Row.1030_41304	337.206556028619	
Row.1031_14672	418.143930117948	
Row.1034_23141	311.133203517037	
Row.1037_21246	483.186679368488	C01674
Row.1039_43043	311.170025525741	
Row.1040_23703	758.330269051671	
Row.1045_12589	422.144542282587	
Row.1047_30716	327.164843445411	
Row.1049_2433	165.019120110919	CPD-30,L-PIPECOLATE,CPD-11879
Row.1050_47443	143.107289424076	CPD-195,CPD-371
Row.1051_42985	467.183866858054	
Row.1054_15346	587.216087901462	
Row.1061_25524	929.393667027799	
Row.1062_33130	243.197250077544	CPD-7836
Row.1064_32416	319.228996791032	ARACHIDONIC_ACID
Row.1066_58173	127.075894837366	
Row.1068_12113	388.124367744443	
Row.1069_1253	171.138858938048	CPD-3617
Row.1072_39181	177.055484724208	1-INDANONE
Row.1073_1252	352.784526146733	
Row.1076_16179	492.162865412093	
Row.1078_14036	493.181446843711	
Row.1079_26990	237.117221906882	
Row.1084_14270	439.415975028978	
Row.1085_25419	243.1607991366	
Row.1086_25597	546.223116168612	GLYCOCHOLIC_ACID
Row.1088_27952	733.271049116199	
Row.1094_1233	394.799784795496	
Row.1099_21922	695.296199113368	
Row.1100_31606	269.213154008517	
Row.1101_54942	341.270971981655	OLEATE-CPD
Row.1103_1594	96.9865011145196	ACET,BORATE
Row.1106_36397	243.161002485236	
Row.1110_18468	560.220571386359	
Row.1112_38878	339.185621312342	
Row.1113_18627	577.223559749813	
Row.1116_28902	341.180416577709	
Row.1117_19786	613.247701797424	
Row.1118_61056	524.28007272439	
Row.1119_19269	430.159852506402	
Row.1121_25235	973.407901252131	
Row.1123_30768	199.170430190303	DODECANOATE
Row.1124_1986	126.904520508457	
Row.1125_20745	646.769935655455	
Row.1126_46091	235.13456697959	
Row.1127_1024	261.150567722521	
Row.1128_14228	537.204809758502	
Row.1129_33646	243.233640206728	
Row.1131_49398	193.087044258028	1-INDANOL
Row.1133_1083	227.202068591303	CPD-7836
Row.1134_16035	520.196627341764	
Row.1136_34451	183.102696306907	CPD-7618,CPD-9976,CPD-9977
Row.1139_9407	126.904596045703	
Row.1142_54366	196.134345159867	CPD-10806
Row.1144_53400	203.107630991513	
Row.1146_32001	323.2239853601	CPD-8117,LINOLENIC_ACID
Row.1148_20743	717.286907482252	
Row.1150_29366	269.176890414742	CPD0-1159
Row.1159_21340	707.269107929113	
Row.1160_1236	247.17115925739	
Row.1161_32133	325.239747648912	LINOLEIC_ACID
Row.1162_20133	785.325504600954	
Row.1164_25005	201.186057574014	CPD-7867
Row.1167_18686	552.22397393896	
Row.1170_50827	207.102777773994	
Row.1176_17537	551.708611534026	
Row.1177_15467	458.167798288916	CPD3DJ-11366
Row.1179_25075	337.170103227251	
Row.1182_32803	343.214198192774	
Row.1183_27980	251.165935329715	CPD-7204
Row.1184_19936	529.558548734932	
Row.1188_44195	312.255410739907	
Row.1189_40650	383.281774971584	
Row.1190_15979	485.178887598644	
Row.1193_33481	314.234409969799	
Row.1194_25903	587.249715924708	
Row.1195_17070	570.233500040657	
Row.1197_17357	550.214071378152	
Row.1198_16764	445.161190929538	
Row.1199_24404	839.335033097185	
Row.1201_22806	889.354309109219	
Row.1202_21458	881.346072581962	
Row.1203_17124	465.1643996534	
Row.1207_31718	287.223725151126	CPD-11268,CPD-7836
Row.1208_31243	369.229624688883	5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY,ALPROSTADIL
Row.1209_28247	256.192663136002	
Row.1210_1112	121.028917266741	C00633
Row.1211_58231	201.186087513036	CPD-7867
Row.1214_28620	277.145442345399	CPD-11962
Row.1215_1669	514.806807383747	
Row.1216_12644	453.157285904249	
Row.1217_20066	547.234168083161	
Row.1219_14809	508.187962810095	
Row.1220_1320	392.802940825707	
Row.1221_20048	605.250038891379	
Row.1223_17759	555.22929116333	
Row.1224_19677	551.21495239506	
Row.1225_16722	400.812045477111	
Row.1227_44296	353.201375394142	
Row.1228_21091	749.276736234522	
Row.1229_31927	263.166446972158	
Row.1230_21651	801.310909923902	
Row.1231_28163	441.17289848045	
Row.1232_43284	411.207033553183	
Row.1235_30959	213.186221594179	
Row.1237_60361	445.188403353132	
Row.1239_990	386.764278048342	
Row.1242_30201	257.176641337194	
Row.1243_22712	819.323544244487	
Row.1246_27694	315.218984962962	
Row.1249_26331	830.329646829179	
Row.1251_19035	608.256614391871	TAUROLITHOCHOLATE-SULFATE
Row.1252_1159	510.717232783888	
Row.1256_18769	743.294463014164	
Row.1261_19547	553.542288640575	
Row.1262_23998	765.338715273638	
Row.1264_1186	152.883363065402	
Row.1265_23578	335.154498852084	
Row.1270_22462	635.278519856074	
Row.1271_1109	113.035008214319	3-UREIDO-PROPIONATE,ASN,DI-H-URACIL
Row.1273_16107	527.198656622842	
Row.1274_50118	337.206172082696	
Row.1275_1411	154.927922562497	
Row.1276_21679	501.195736198307	
Row.1277_1308	291.16130765437	
Row.1281_27845	285.171812626027	
Row.1282_27621	955.396111244144	
Row.1286_29158	687.306905360066	
Row.1287_26143	961.3832828828	
Row.1288_43629	199.098566572973	
Row.1293_20680	477.503123000435	
Row.1296_1316	218.167919700854	
Row.1298_1531	352.862572703256	
Row.1299_58759	135.044608920308	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.1302_21321	725.284441750468	
Row.1304_38458	163.039759718931	15-ANHYDRO-D-FRUCTOSE,4-HYDROXYPHENYLLACTATE,COUMARATE,CPD-11876,CPD-7651,C02763,PHENYL-PYRUVATE
Row.1305_26120	875.358415891472	
Row.1306_21588	241.072608222143	4-HYDROXYPHENYLLACTATE,CPD-11876,CPD-7651
Row.1307_14964	467.834980895382	DIIODO-L-TYROSINE
Row.1313_41336	269.140552705369	CPD-731
Row.1314_1807	75.0079758802056	C00067
Row.1316_46754	176.071542738997	CPD-11671,CPD-341,HYDRPHENYLAC-CPD,INDOLE-3-GLYCOL,PHENYLACETATE
Row.1324_27800	283.192446992704	CPD0-1159
Row.1328_23841	776.325243481757	
Row.1329_31066	309.175347989033	
Row.1331_29583	315.197846546217	RETINOATE
Row.1333_30637	195.175473274724	
Row.1336_14381	655.241429187791	
Row.1337_16959	521.196021302819	
Row.1339_26100	155.143816457277	ARACHIDIC_ACID,PHYTANATE
Row.1340_827	281.2495736029	OLEATE-CPD
Row.1342_20287	755.294131980409	
Row.1343_35432	315.219021455774	
Row.1346_18955	524.701420784694	
Row.1347_13414	550.211440360573	
Row.1348_21316	883.361827993465	
Row.1350_31745	341.234500641677	
Row.1351_21848	665.284910494855	
Row.1352_28996	425.223219158721	
Row.1355_31861	261.186829260744	
